epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
98,166391,0.34358,0.66534,0.27618,0.00439,0.07916,0.96339,0.94801,0.96361,0.94676,0,0,0,0,0.23169,nan,0.20606,0.00652,0,0.000214972,0.000214972,0.000214972
99,168012,0.34543,0.67112,0.27857,0.00442,0.07846,0.96313,0.94678,0.9639,0.94667,0,0,0,0,0.23162,nan,0.21253,0.00652,0,0.000207118,0.000207118,0.000207118
100,169547,0.34278,nan,0.27454,0.00436,0.07989,0.95642,0.95189,0.96397,0.94595,0,0,0,0,0.23305,nan,0.20534,0.00659,0,0.000199574,0.000199574,0.000199574
101,171239,0.43355,nan,0.30428,0.00603,0.11713,0.95568,0.95063,0.96129,0.88994,0,0,0,0,0.43291,nan,0.28393,0.01355,0,0.000192346,0.000192346,0.000192346
102,172727,0.75233,nan,0.39349,0.01131,0.12796,0.95301,0.95298,0.96378,0.82216,0,0,0,0,0.72581,nan,0.35038,0.02417,0,0.000185439,0.000185439,0.000185439
103,174277,0.79336,nan,0.40058,0.01197,0.12753,0.95503,0.95157,0.96519,0.79682,0,0,0,0,0.78202,nan,0.36753,0.02626,0,0.000178856,0.000178856,0.000178856
104,175914,0.78868,nan,0.40836,0.01183,0.13277,0.95632,0.95114,0.96547,0.79485,0,0,0,0,0.78867,nan,0.37088,0.02653,0,0.000172604,0.000172604,0.000172604
105,177648,0.78748,nan,0.40665,0.01186,0.13051,0.95714,0.95168,0.96533,0.79397,0,0,0,0,0.79049,nan,0.37112,0.0266,0,0.000166685,0.000166685,0.000166685
106,179409,0.78686,nan,0.40147,0.01174,0.13068,0.9574,0.95144,0.96528,0.79409,0,0,0,0,0.79021,nan,0.37102,0.02659,0,0.000161105,0.000161105,0.000161105
107,2385.82,0.78961,nan,0.41452,0.01182,0.13249,0.95484,0.95402,0.96511,0.79361,0,0,0,0,0.79303,nan,0.37031,0.02666,0,0.000155867,0.000155867,0.000155867
